user_answer,right_answer,score,Similarly
A girl is styling her hair.,A girl is brushing her hair.,0.5,80.522194
A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,0.72,78.86251
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,1.0,94.64934
A man is cutting up a cucumber.,A man is slicing a cucumber.,0.84,88.204315
A man is playing a harp.,A man is playing a keyboard.,0.3,35.56157
A woman is cutting onions.,A woman is cutting tofu.,0.36,50.169285
A man is riding an electric bicycle.,A man is riding a bicycle.,0.7,80.74237
A man is playing the drums.,A man is playing the guitar.,0.44,47.569553
A man is playing guitar.,A lady is playing the guitar.,0.44,61.81699
A man is playing a guitar.,A man is playing a trumpet.,0.34,50.956345
A man is playing a guitar.,A man is playing a trumpet.,0.34,50.956345
A man is cutting an onion.,A man cuts an onion.,1.0,97.950195
A man is cycling.,A man is talking.,0.12,34.214424
A man is slicing open a fish.,A man is cutting up a fish.,0.88,82.38353
A man is slicing a tomato.,A man is slicing a bun.,0.4,56.291683
A man is playing a guitar.,A man is playing a keyboard.,0.36,49.575035
A baby panda goes down a slide.,A panda slides down a slide.,0.88,85.35978
A man is singing and playing a guitar.,A man is playing a guitar.,0.72,80.11805
A man attacks a woman.,A man slaps a woman.,0.72,73.05929
A man is driving a car.,A man is riding a horse.,0.24,30.283897
A woman is cutting tofu.,A woman is cutting an onion.,0.48,48.01802
The woman is styling her hair.,The woman is slicing herbs.,0.04,32.5662
Two zebras play in an open field.,Two zebras are playing in a field.,0.84,95.63938
A man is cutting a potato.,A man is slicing some potato.,0.88,89.2871
A man is slicing an onion.,A woman is slicing a pumpkin.,0.45,51.32966
A  man is dancing.,A man and woman is dancing.,0.4,70.031044
A man is riding a motorcycle.,A woman is riding a horse.,0.15,14.424356
A woman is slicing garlics.,A woman is slicing an onion.,0.44,76.77908
A man is speaking.,A man is cooking.,0.16,31.624525
A little boy is singing and playing a guitar.,A man is singing and playing the guitar.,0.44,66.333305
A turtle is swimming in water.,A turtle is walking underwater.,0.64,77.296364
A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,0.96,86.52451
A woman is wrapping tofu.,A woman is balling dough.,0.28,44.38947
A cat is eating some corn.,A cat is eating corn on the cob.,0.85,93.40694
A man is eating a food.,A man is eating a piece of bread.,0.68,76.28445
A man is playing a guitar.,A man is eating pasta.,0.11,17.610392
A man is kicking pots of water.,A man is picking flowers.,0.08,27.22314
A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.,0.24,56.73617
A woman is dancing in the rain.,A woman dances in the rain out side.,1.0,92.44078
A woman is taking a bath.,A woman is riding a horse.,0.11,34.688713
A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.,0.75,78.378914
A woman is talking on a cell phone.,A man and woman are talking on the phone.,0.6,60.77727
A man is playing a guitar.,A man is singing while playing the guitar.,0.72,77.025826
A man is playing a guitar.,A man is driving a car.,0.1,26.36078
A man is cutting apple by his hand.,A man is cutting carpet with a knife.,0.3,60.09725
A man is opening a door.,A man is cutting an onion.,0.16,24.907148
A man is slicing a tomato.,A man is riding a horse.,0.16,16.598282
A man is cutting paper with a sword.,A woman is cutting a tomato.,0.12,38.975643
A boy studies a calendar.,A boy is looking at a calendar.,0.88,90.24196
The ballerina is dancing.,A man is dancing.,0.35,59.17483
A woman is dancing.,A woman is playing violin.,0.08,50.609226
A woman is slicing some tomatoes.,A woman is chopping a potato.,0.28,58.26037
A woman is water skiing.,A woman is slicing fish.,0.08,27.379292
A man is playing a flute.,A man is riding a scooter.,0.16,23.016401
A man is playing the piano.,A man played the guitar.,0.4,47.946037
A woman is picking a can.,A man is playing a guitar.,0.03,1.672913
A man puts three pieces of meat into a pan.,A man is putting meat in a pan.,0.8,87.79926
A woman is cutting an onion.,A woman is cleaning a garden.,0.05,46.54329
Some men are sawing.,Men are sawing logs.,0.68,77.63883
A car is driven down the road.,A girl is walking down a road.,0.24,52.95546
The man is kissing and hugging the woman.,A man is hugging and kissing a woman.,1.0,96.13359
A train is moving.,A man is doing yoga.,0.0,7.22616
Someone is slicing an onion.,A woman is cutting onion.,0.76,80.54574
A woman is playing in the ocean.,A woman is preparing shrimp to cook.,0.15,38.472263
A person is playing an electronic keyboard.,A kid is playing keyboard.,0.68,72.8792
A man is holding a leaf.,A monkey is fighting a man.,0.0,24.872528
A woman is peeling shrimp.,A man is squeezing water.,0.04,1.6389415
A man is sitting and smoking.,A man is smoking a cigarette.,0.8,80.10379
A man is playing a guitar.,A woman is riding a horse.,0.1,0.39787683
A man is standing in front of the window and looking outside.,A man is staring out the window.,0.76,75.36579
A skunk is looking here and there.,A skunk looks at the camera.,0.48,80.64743
A man is playing the guitar and singing.,A man sings with a guitar.,0.95,86.299484
A woman opens a window.,A man is crawling.,0.0,-7.356493
People are dancing outside.,A group of people are dancing.,0.75,83.37312
The man is using a camera to hammer a nail.,Someone is banging a camera lense against a nail.,0.52,69.96659
A woman is filing her nails.,A man is peeling a carrot.,0.0,6.567323
A boy is crawling into a dog house.,A boy is playing a wooden flute.,0.15,21.295437
A woman is swimming underwater.,A man is slicing some carrots.,0.0,-16.478617
A machine is sharpening a pencil.,The machine shaved the end of the pencil.,0.76,69.40599
A monkey is playing drums.,A gorilla plays the drums.,0.56,76.603294
A man is opening a box and taking out paper.,A woman is peeling a potato.,0.0,7.024558
A woman is dancing.,A woman plays the clarinet.,0.16,41.278557
A person is drawing on a large touchscreen.,A man is drawing on a digital dry erase board.,0.6,49.41765
The men played follow the leader on the grass.,The rhino grazed on the grass.,0.2,35.29109
A woman is cracking eggs.,A man is talking to a woman.,0.0,8.39032
A woman peels garlic with her hands.,The woman is slicing herbs.,0.2,54.802288
The polar bears fought over the kill.,Polar bears are fighting each other.,0.68,79.88409
A man is doing trick with play cards.,A man is performing a card trick.,1.0,92.01834
The cat is licking a bottle.,A cat plays with a small bottle.,0.47,71.12098
