sentence1,sentence2,score
A girl is styling her hair.,A girl is brushing her hair.,0.5
A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,0.72
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,1.0
A man is cutting up a cucumber.,A man is slicing a cucumber.,0.84
A man is playing a harp.,A man is playing a keyboard.,0.3
A woman is cutting onions.,A woman is cutting tofu.,0.36
A man is riding an electric bicycle.,A man is riding a bicycle.,0.7
A man is playing the drums.,A man is playing the guitar.,0.44
A man is playing guitar.,A lady is playing the guitar.,0.44
A man is playing a guitar.,A man is playing a trumpet.,0.34
A man is playing a guitar.,A man is playing a trumpet.,0.34
A man is cutting an onion.,A man cuts an onion.,1.0
A man is cycling.,A man is talking.,0.12
A man is slicing open a fish.,A man is cutting up a fish.,0.88
A man is slicing a tomato.,A man is slicing a bun.,0.4
A man is playing a guitar.,A man is playing a keyboard.,0.36
A baby panda goes down a slide.,A panda slides down a slide.,0.88
A man is singing and playing a guitar.,A man is playing a guitar.,0.72
A man attacks a woman.,A man slaps a woman.,0.72
A man is driving a car.,A man is riding a horse.,0.24
A woman is cutting tofu.,A woman is cutting an onion.,0.48
The woman is styling her hair.,The woman is slicing herbs.,0.04
Two zebras play in an open field.,Two zebras are playing in a field.,0.84
A man is cutting a potato.,A man is slicing some potato.,0.88
A man is slicing an onion.,A woman is slicing a pumpkin.,0.45
A  man is dancing.,A man and woman is dancing.,0.4
A man is riding a motorcycle.,A woman is riding a horse.,0.15
A woman is slicing garlics.,A woman is slicing an onion.,0.44
A man is speaking.,A man is cooking.,0.16
A little boy is singing and playing a guitar.,A man is singing and playing the guitar.,0.44
A turtle is swimming in water.,A turtle is walking underwater.,0.64
A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,0.96
A woman is wrapping tofu.,A woman is balling dough.,0.28
A cat is eating some corn.,A cat is eating corn on the cob.,0.85
A man is eating a food.,A man is eating a piece of bread.,0.68
A man is playing a guitar.,A man is eating pasta.,0.11
A man is kicking pots of water.,A man is picking flowers.,0.08
A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.,0.24
A woman is dancing in the rain.,A woman dances in the rain out side.,1.0
A woman is taking a bath.,A woman is riding a horse.,0.11
A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.,0.75
A woman is talking on a cell phone.,A man and woman are talking on the phone.,0.6
A man is playing a guitar.,A man is singing while playing the guitar.,0.72
A man is playing a guitar.,A man is driving a car.,0.1
A man is cutting apple by his hand.,A man is cutting carpet with a knife.,0.3
A man is opening a door.,A man is cutting an onion.,0.16
A man is slicing a tomato.,A man is riding a horse.,0.16
A man is cutting paper with a sword.,A woman is cutting a tomato.,0.12
A boy studies a calendar.,A boy is looking at a calendar.,0.88
The ballerina is dancing.,A man is dancing.,0.35
A woman is dancing.,A woman is playing violin.,0.08
A woman is slicing some tomatoes.,A woman is chopping a potato.,0.28
A woman is water skiing.,A woman is slicing fish.,0.08
A man is playing a flute.,A man is riding a scooter.,0.16
A man is playing the piano.,A man played the guitar.,0.4
A woman is picking a can.,A man is playing a guitar.,0.03
A man puts three pieces of meat into a pan.,A man is putting meat in a pan.,0.8
A woman is cutting an onion.,A woman is cleaning a garden.,0.05
Some men are sawing.,Men are sawing logs.,0.68
A car is driven down the road.,A girl is walking down a road.,0.24
The man is kissing and hugging the woman.,A man is hugging and kissing a woman.,1.0
A train is moving.,A man is doing yoga.,0.0
Someone is slicing an onion.,A woman is cutting onion.,0.76
A woman is playing in the ocean.,A woman is preparing shrimp to cook.,0.15
A person is playing an electronic keyboard.,A kid is playing keyboard.,0.68
A man is holding a leaf.,A monkey is fighting a man.,0.0
A woman is peeling shrimp.,A man is squeezing water.,0.04
A man is sitting and smoking.,A man is smoking a cigarette.,0.8
A man is playing a guitar.,A woman is riding a horse.,0.1
A man is standing in front of the window and looking outside.,A man is staring out the window.,0.76
A skunk is looking here and there.,A skunk looks at the camera.,0.48
A man is playing the guitar and singing.,A man sings with a guitar.,0.95
A woman opens a window.,A man is crawling.,0.0
People are dancing outside.,A group of people are dancing.,0.75
The man is using a camera to hammer a nail.,Someone is banging a camera lense against a nail.,0.52
A woman is filing her nails.,A man is peeling a carrot.,0.0
A boy is crawling into a dog house.,A boy is playing a wooden flute.,0.15
A woman is swimming underwater.,A man is slicing some carrots.,0.0
A machine is sharpening a pencil.,The machine shaved the end of the pencil.,0.76
A monkey is playing drums.,A gorilla plays the drums.,0.56
A man is opening a box and taking out paper.,A woman is peeling a potato.,0.0
A woman is dancing.,A woman plays the clarinet.,0.16
A person is drawing on a large touchscreen.,A man is drawing on a digital dry erase board.,0.6
The men played follow the leader on the grass.,The rhino grazed on the grass.,0.2
A woman is cracking eggs.,A man is talking to a woman.,0.0
A woman peels garlic with her hands.,The woman is slicing herbs.,0.2
The polar bears fought over the kill.,Polar bears are fighting each other.,0.68
A man is doing trick with play cards.,A man is performing a card trick.,1.0
The cat is licking a bottle.,A cat plays with a small bottle.,0.47
A person is slicing an onion.,A person cuts ginger.,0.28
A person is peeling a potato with a potato peeler.,A man is cutting tomatoes with a cleaver.,0.15
Two women are dancing and singing in front of a crowd.,The women are singing and dancing.,0.71
A man is seasoning some carrots.,A woman is slicing garlic.,0.16
Two men pushed carts through the woods.,Two men are pushing carts.,0.7
A man is playing a football.,A man is maneuvering a soccer ball with his feet.,0.4
The lady peeled the potatoe.,A woman is peeling a potato.,0.95
A woman is slicing some tofu.,A woman is cutting a block of tofu into small cubes.,0.8
Someone typed on a keyboard.,Someone is typing.,0.9
"Three young men run, jump, and kick off of a Coke machine.",Three men are jumping off a wall.,0.3
A young Asian girl is applying eyeliner.,A girl is putting on eye makeup.,0.48
A cat is walking around a house.,A woman is peeling potato.,0.0
A woman is talking to her pet bunny as she fondles it.,A woman walks her dog onto astro turf.,0.08
A monkey is playing drums.,Someone in a gorilla costume is playing a set of drums.,0.5
A man is riding a white horse on an enclosed ground.,Someone is riding a horse.,0.52
An oriental lady is cutting a carrot into thin pieces.,A woman is slicing a carrot.,0.72
A group of people are dancing.,Women are dancing outside.,0.6
A man is playing guitar.,A boy is talking to a giant dog.,0.0
A woman mixes up vegetables.,A woman is adding ingredients to a skillet.,0.32
A woman pours a mixture into a bowl and mixes it.,A woman is preparing an egg in a skillet.,0.25
A man is cutting pieces of butter into a mixing bowl.,Pieces of butter is added in the stand mixer.,0.72
A man is putting garlic on some bread slices.,A man is sprinkling seasoning on several split and buttered loaves of bread.,0.4
The panda bear lay on the logs.,A panda is lying down.,0.72
Five men jump into a swimming pool.,A group of swimmers fall into a pool.,0.56
A cheetah is running behind its prey.,A cheetah chases prey on across a field.,0.88
A cat is playing on the floor.,A man is slicing garlic.,0.0
A boy is playing violin on stage.,A person is mixing a pot.,0.0
A dog is barking at a toy.,The little dog barked at the electronic toy.,0.75
A man is cycling.,A boy is riding a bicycle.,0.5
A woman is slicing ginger.,A person is holding two baby lorises.,0.0
A man is dragging a dead deer.,A man is jumping into water from a cliff.,0.16
A man is preparing a snake for cooking.,The man is dropping sliced cucumbers into water.,0.2
A woman is spreading mustard on a bread roll.,A kitten is playing with a woman's finger.,0.0
Someone touched the kitten chewing on a string.,Someone is cutting paper.,0.05
Meat is being put into a skillet.,A woman is putting a baby into a trash can.,0.08
A baby elephant is eating a small tree.,A little girl peddling a scooter.,0.0
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,1.0
Someone is drawing.,Someone is dancing.,0.06
A man is playing a guitar.,A woman is playing the guitar.,0.55
Two men are fistfighting in a ring.,Two men fistfight in a ring.,1.0
A person wipes butter on a tray.,A person is buttering a tray.,0.85
Two men are playing football.,Two men are practicing football.,0.68
The man is playing the guitar.,The girl is playing the guitar.,0.32
A man is peeling a potato.,A man is slicing a potato.,0.52
A woman is stabbing a potato with a fork.,A woman is puncturing a potato with a fork.,1.0
A child is waking up.,A girl is waking up.,0.64
A boy is playing a key-board.,A little boy is playing a keyboard.,0.96
A woman plays the flute.,A woman is playing the flute.,1.0
A woman is playing an electric guitar.,A man is playing an acoustic guitar.,0.48
A man is playing a flute.,A man is playing a guitar.,0.4
A group of people are sweeping water out of a house.,People are sweeping water out of a house.,1.0
A man plays a guitar.,A man is playing a guitar.,1.0
A man and a woman is kissing each other.,A man and a woman are hugging and kissing each other.,0.68
A woman is climbing a cliff.,A woman is climbing a rock face.,0.9
A polar bear is running towards a group of walruses.,A polar bear is chasing a group of walruses.,0.84
A woman is cutting some fish.,A woman is cutting tofu.,0.44
Someone is playing a piano.,Someone is playing guitar.,0.48
A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,0.76
A man is breaking wooden boards with his hand.,A man is breaking tiles with his hands.,0.5
A girl is playing guitar.,A girl is playing a piano.,0.4
A man is praying.,A man is dancing.,0.15
A man is playing piano.,A man is playing a violin.,0.4
A woman is slicing an onion.,A woman is slicing lemons.,0.44
A man is riding a horse by a creek.,A man is riding a horse.,0.8
A man is playing a guitar.,A man is playing a guitar and singing.,0.64
A man is picking up a tree.,A man is carrying a tree.,0.76
A person is peeling a potato.,The man is peeling a potato.,0.75
A person is playing a piano.,A person is slicing a potato.,0.1
A man is spitting.,A man is talking.,0.16
A man is playing a musical keyboard.,A man is playing a keyboard piano.,1.0
A man is dancing.,A man is thinking.,0.24
A man plays a trumpet.,A man is playing the trumpet.,1.0
A woman is riding a horse.,A man rides a horse.,0.56
A band is playing on stage.,A woman is dancing on a stage.,0.24
A woman is playing a guitar and singing.,A woman is playing the guitar.,0.64
The man is eating.,A man is eating food.,0.92
A little boy hits a golf ball.,The little boy swung at the golf ball.,0.8
A guy is taking off his sunglasses.,A boy is removing his sunglasses.,0.76
Someone is reading an email.,A man is reading his email.,0.68
A person is slicing onions.,Someone is slicing an onion.,0.92
A girl is coming up on a car.,A girl jumps on top of a car.,0.52
A man is playing drums.,A man is playing his guitar.,0.36
Someone is slicing a onion.,Someone is carrying a fish.,0.15
A woman is dicing some peeled potatoes cut into thick strips.,A woman is chopping a peeled potato into slices.,0.8
A little girl peddling a scooter.,A girl is riding a scooter.,0.55
A cat cleans itself.,A cat is licking itself.,0.76
A man is kicking a soccer ball.,A man is performing tricks with a soccer ball.,0.52
A woman opens a window.,A woman is looking out a window.,0.4
Three men are doing same dance in the street.,Three shirtless men are dancing in the street.,0.76
The man is playing the guitar.,The man is peeling a potato.,0.12
A man is dancing.,A woman is exercising.,0.08
A woman is exercising.,A man is dancing.,0.05
A boy is playing the violin onstage.,A boy is playing an instrument.,0.56
The woman is measuring the other woman.,The lady measured the other woman's ankle.,0.64
A man is doing exercise.,A man is firing a rifle.,0.1
A dog is playing with a toy.,A dog is eating a doll.,0.45
A man is playing a piano.,A guy is peeling a potato.,0.0
A man is bowling.,A kitten is walking.,0.0
A woman is dancing near a fire.,A woman is cutting a tomatoe.,0.06
A man is making a bed.,A man is speaking to an audience.,0.15
A person is riding a motorcyle.,A person is chopping an onion.,0.08
A man pours rice into a pot.,A man is putting rice in a bowling pot.,0.84
A person is slicing some garlic.,A person is dicing a clove of garlic with a knife.,0.75
A woman is slicing ginger.,A woman is cutting potatoes.,0.32
Men are playing soccer.,Two teams play soccer.,0.6
A person is scrubbing a zucchini.,A woman is scrubbing a zucchini with a vegetable brush.,0.8
A panda bear is chewing on a stick.,A baby panda plays with a stick.,0.6
The people are lifting bags.,Several people are carrying large bags.,0.75
A man is talking on the phone.,A man is moon-walking across a store.,0.08
A woman is braiding her hair.,A man is riding a motorcycle.,0.0
The man is throwing knives at a tree.,A man is throwing blades into a close target outside.,0.6
The woman is slicing tofu.,The woman is putting on lipstick.,0.08
A woman is folding paper.,A woman is applying eye shadow.,0.08
Someone is folding a piece of paper.,A person is slicing a small pieces of ginger.,0.05
A man is lifting weights.,A man is chopping egg plant.,0.05
A man is playing a cello.,A man is rapidly lifting small weights.,0.08
The man is talking.,A man is walking down stairs.,0.08
A man tries to feed a mouse to a snake.,A man is teasing a snake with a mouse.,0.64
A man is playing the drums.,A woman is slicing some leaves.,0.0
A man is playing a ukulele.,A man is sitting and playing a small guitar.,0.44
A kitten is drinking milk from a bowl.,A small child is drinking water from a cup.,0.16
A man breaks cinder blocks on another man.,A woman breaks an egg into a pan.,0.16
A man is hitting a boy with flower vase.,A man is cutting a mat.,0.06
The man is mixing whipping cream.,The man is holding a skunk.,0.0
A man is stirring juice.,A man is peeling an onion.,0.15
Someone is slicing two uncooked racks of ribs apart.,Someone is cutting a piece of meat.,0.47
A man is kicking pots of water.,A man is turning foods.,0.27
Two little girls talk on the telephone.,Two couple are talking with each other.,0.24
A cat gets stuck on a moving ceiling fan.,A cat is swinging on a fan.,0.84
The cat is drinking milk.,A white cat is licking and drinking milk kept on a plate.,0.76
Rocky and Apollo Creed are running down the beach.,The men are jogging on the beach.,0.6
A man is singing while playing the guitar.,A man is stuffing himself full with food.,0.1
A boat sails along the water.,The man is playing the guitar.,0.0
An okapi is eating from a tree.,A moose drinks from a sprinkler.,0.07
Several kids jump up and down on a trampoline.,A man is doing back flips on a trampoline.,0.3
A woman is pouring egg into a frying pan.,A man is petting two dogs.,0.03
A woman is frying ground meat.,A man is cutting a trunk with an axe.,0.1
Three boys in karate costumes are fighting.,Three men are practicing karate moves in a field.,0.25
Swimmers are racing in a lake.,Women swimmers are diving in from the starting platform.,0.32
A person is boiling noodles.,A cat is licking a bottle.,0.0
A person is slicing some onions.,A woman is chopping herbs.,0.2
A man reels in a fish.,A woman is pouring oil in a bowl.,0.0
A woman is cutting an onion.,A horse is standing.,0.0
A lady mixed up a meat mixture in bowl.,A woman is stirring meat in a bowl.,0.8
A girl is applying makeup on her face.,A woman is putting on makeup.,0.55
A woman puts make-up on.,A woman is putting on eyeshadow.,0.67
A cat plays in his water.,The cat fished a straw out ouf his water dish.,0.7
A person is adding food in a pan.,A man is dancing in the street.,0.04
A man is smoking.,A baby is sucking on a pacifier.,0.0
A person is putting shredded cheese in a pot.,A hamster is eating some seeds.,0.05
A man is erasing a chalk board.,"A woman is dancing, and singing.",0.07
The man is exercising.,A man is doing pull-ups.,0.64
A chimp is kicking a target.,A woman is putting oil into a skillet.,0.0
A man is doing exercise.,A baby is laughing.,0.0
The girl is carrying a baby.,A man is eating a food.,0.0
Several swimmers jump into the water.,Swimmers are racing in a lake.,0.35
A man spins on a surf board.,A man is putting barbecue sauce on chicken.,0.0
A young man is riding a skateboard and jumps onto a sidewalk then off at another curb.,A man is riding a skateboard.,0.55
A person dices up an orange pepper.,The cook is slicing bell peppers.,0.36
Two men are dancing together.,A woman opens a closet.,0.0
A man is reading an email.,A person opening a banana.,0.0
The curious boys look in the shed.,Two small boys in a woody area looking at a shed.,0.56
A moped in front of steps of ruins.,A moped in front of ruins.,0.88
